"Indicator Category","Indicator Code","Indicator","Reporting Economy Code","Reporting Economy ISO3A Code","Reporting Economy","Partner Economy Code","Partner Economy ISO3A Code","Partner Economy","Product/Sector Classification Code","Product/Sector Classification","Product/Sector Code","Product/Sector","Period Code","Period","Frequency Code","Frequency","Unit Code","Unit","Year","Value Flag Code","Value Flag","Text Value","Value"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","686","SEN","Senegal","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","","","","5202.222"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","690","SYC","Seychelles","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","","","","463.771751"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","694","SLE","Sierra Leone","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","","","","697.023"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","702","SGP","Singapore","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","","","","457357.319235"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","703","SVK","Slovak Republic","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","","","","103556.76514"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","704","VNM","Viet Nam","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","","","","335929.331266"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","705","SVN","Slovenia","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","","","","57351.94357"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","710","ZAF","South Africa","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","","","","123571.631264"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","716","ZWE","Zimbabwe","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","","","","6035.45"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","724","ESP","Spain","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","","","","382992.52126"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","736","SDN","Sudan","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","","","","4279.017"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","740","SUR","Suriname","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2021","","","","1513.206"
